A & M Institute Of Mgt. & Tech ,,Punjab   
Paradise College Of Education Jaurasi,, Haryana  
Parajang Mahavidyalaya,, Orissa  
Paramahans Ramakrishna Mauntibaba Sanstha'S Anuradha Engineering College, Buldana  , Maharashtra  
Paramananda College,, Orissa  
Paramapujya Jagannatha Swamy Vidya V Edn Society,, Karnataka  
Parameswar Mahavidyalaya (B Ed ),, West Bengal  
Parameswari College Of Education Ded,, Andhra Pradesh  
Paramhans College Of Education,, Haryana  
Paramount College Of Education,, Haryana  
Paramount Education Society,, Haryana  
Paramveer College Of Education,, Tamil Nadu  
Paramveer Teacher Training Institute,, Tamil Nadu  
Parangat B Ed College,, Gujarat  
Parasakthi College Of Education,, Tamil Nadu  
Parashari Vidaya Prasarak Sansthas Shri D S,, Maharashtra  
Paravathareddy Babulreddy Visvodaya Institute Of Technology, Nellore  , Andhra Pradesh  
Parekh Brothers Science College,, Gujarat  
Parigaon Omprakash Dinodia College,, Assam  
Parijat Academy Teacher Education Institution,, Assam  
Parijat College,, Madhya Pradesh  
Parimal Mitra Smriti Mahavidyalaya,, West Bengal  
Parimala Teacher Training Institute,, Tamil Nadu  
Parimalar Teacher Training Institute,, Tamil Nadu  
Parish Priesh Catholic Chruch Trust,, Gujarat  
Parishram Adhyapan Mandir,, Gujarat  
Parishram Ptc Mahila College,, Gujarat  
Parisutham Institute Of Technology And Science, Thanjavur  , Tamil Nadu  
Paritala Sriramulu Government College, Anantapur  , Andhra Pradesh  
Parivartan Gramin Vikas Mahila Va Shikshan,, Maharashtra  
Park College Of Eduction,, Tamil Nadu  
Park College Of Engineering Technology, Coimbatore  , Tamil Nadu  
Park Teacher Training Institute,, Tamil Nadu  
Parks College, Tirupur  , Tamil Nadu  
Parle Tilak Vidyalaya Associations Sathye College,, Maharashtra  
Parmanand Degree College For B Ed,, Rajasthan  
Parmanand Trilok Chand Tt College,, Rajasthan  
Parmeshwar Mahavidyalaya,, Uttar Pradesh  
Parshwanath Charitable Trust'S College Of Engineering, Thane  , Maharashtra  
Partap College Of Education,, Punjab  
Parth College Of Education,, Gujarat  
Parth Education And Charitable Trust,, Gujarat  
Partiarch Ignatius Zakka Training College,, Kerala  
Parul Institute Of Engineering & Technology,, Gujarat  
Parul Institute Of Ptc Education,, Gujarat  
Parvathaneni Brahmayya Siddhartha College Of Art & Science, Vijayawada  , Andhra Pradesh  
Parvathys Arts And Science College, Dindigul  , Tamil Nadu  
Parvati Bahuuddeshiya Sanstha,, Maharashtra  
Parvati Mahila Mahavidyalaya,, Uttar Pradesh  
Parvati Tad Junior College Of Education,, Maharashtra  
Parvatibai Adhyapak Vidyalaya,, Maharashtra  
Parvatibai Genba Moze College Of Engineering, Pune  , Maharashtra  
Paschim Guwahati Mahavidyalaya, Guwahati  , Assam  
Paschim Maharashtra Education Trust,, Maharashtra  
Pasha Educational Training Institute,, Andhra Pradesh  
Pashupati Institute Of Studies,, Uttar Pradesh  
Paspo College Of Educational,, Tamil Nadu  
Pastor Lenssen Polytechnic College, Tirunelveli  , Tamil Nadu  
Pasumpon Muthuramalinga Thevar College, Tirunelveli  , Tamil Nadu  
Pasumpon Muthuramalinga Thevar College, Madurai  , Tamil Nadu  
Pasumpon Nethaji Polytechnic College
Pes College Arts And Science ,,Goa   
Pes Institute Of Technology ,Bangalore   ,Karnataka   
Pes Institute Technology Management ,Shimoga   ,Karnataka   
Pes School Of Engineering ,Bangalore   ,Karnataka   
Pestle Weed College Of Information Technology ,,Uttaranchal   
Pet College Of Teaher Education ,,Tamil Nadu   
Pet Engineering College ,Tirunelveli   ,Tamil Nadu   
Pet Post Graduate Center For Education & Research ,,Karnataka   
Pettigrew College ,,Manipur   
Pgp College Of Education ,,Tamil Nadu   
Pgp College Of Engineering A ,Namakkal   ,Tamil Nadu   
Phool Bun Teachers Training Institute For Women ,,Karnataka   
Phoolwati Devi Institute Of Law ,Baghpat   ,Uttar Pradesh   
Phule Samaj Sudharak Samiti Madhukarrao Ghate ,,Maharashtra   
Phule Samaj Sudhark Samitti?S Shahir Annabhau Sath ,,Maharashtra   
Phulsing Naik Mahavidyalaya ,,Maharashtra   
Pillais College Of Education And Research ,,Maharashtra   
Pillais Comprehensive College Of Edn & Research ,,Maharashtra   
"Pillai'S Institute Of Information Technology, Engineering, Media Studies & Research ",Raigad   ,Maharashtra   
Pimpri Chinchwad Education Trust'S. Pimpri Chinchwad College Of Engineering ,Pune   ,Maharashtra   
Pine Grove College Of Education ,,Punjab   
Pingla Thana Mahavidyalaya ,,West Bengal   
Pinnamaneni Rajendra Prasad Memorial Degree College ,Krishna   ,Andhra Pradesh   
Pioneer College Of Arts And Science ,Coimbatore   ,Tamil Nadu   
Pioneer College Of Physiotherapy ,Ramanathapuram   ,Tamil Nadu   
Pioneer Ded College Vpo ,,Haryana   
Pioneer Institute Of Management (Pim) ,Udaipur   ,Rajasthan   
Pioneer Institute Of Professional Studies ,Indore   ,Madhya Pradesh   
Pioneer Kumarasamy College ,Kanyakumari   ,Tamil Nadu   
Pipar Teachers Training College ,,Rajasthan   
Pipli College ,,Orissa   
Pitamah Umda Singh College Of Education ,,Haryana   
Pitamberbhai And Tulsibhai Patel College Of Edn ,,Gujarat   
Pithapur Rajahs Government College ,Kakinada   ,Andhra Pradesh   
Pkjm Teacher Training Institute Mulavana ,,Kerala   
Pmr Engineering College ,Chennai   ,Tamil Nadu   
Pmr Institute Of Technology ,Tiruvallur   ,Tamil Nadu   
Pocker Sahib Memorial College ,,Kerala   
Poddar Management Training Institute ,,Rajasthan   
Poddar Shikshan Sansthan ,,Rajasthan   
Poineer College ,Hyderabad   ,Andhra Pradesh   
Poineer Kumaraswamy College ,Kanyakumari   ,Tamil Nadu   
Pokharan Teachers Training College ,,Rajasthan   
Polytechnic For Women South Ext. - Delhi ,Delhi   ,Delhi   
Pompei College ,,Karnataka   
Ponda Education Societys ,,Goa   
Pondicherry Engineering College ,Pondicherry   ,Pondicherry   
"Pondicherry Institute Of Medical Sciences & Research, Pondicherry ",Pondicherry   ,Pondicherry   
Pondicherry Teacher Training Institute ,,Pondicherry   
Pondicherry University ,Pondicherry   ,Pondicherry   
Ponjesly College Of Education ,,Tamil Nadu   
Ponjesly College Of Engineering ,Kanyakumari   ,Tamil Nadu   
Ponkaliamman College Of Education ,,Tamil Nadu   
Ponmanam Institute Of Management Studies & Computer Application ,Chennai   ,Tamil Nadu   
Ponmari College Of Education ,,Tamil Nadu   
Ponmari Teacher Training Institute ,,Tamil Nadu   
Ponnaiyah College Of Education ,,Tamil Nadu   
Ponnaiyah Ramajayam College ,Thanjavur   ,Tamil Nadu   
Ponnaiyah Ramajayam College Of Education ,,Tamil Nadu   
Ponnaiyah Ramajayam College Of Engineering & Technology ,Thanjavur   ,Tamil Nadu   
Ponnaiyah Ramajayam Polytechnic College ,Vellore   ,Tamil Nadu   
Ponnaiyah Teacher Training Institute ,,Tamil Nadu   
Ponnur Degree College ,Ponnur   ,Andhra Pradesh   
Ponnusamy Nadar College Of Education ,,Tamil Nadu   
Ponnusamy Nadar Teacher Training Institute ,,Tamil Nadu   
Ponugoti Madhav Rao(Pmr) Degree College ,Rangareddy   ,Andhra Pradesh   
Pooja Bhagavat Mahajana Post Graduate Wing Of Sbrr ,Mysore   ,Karnataka   
Pooja Sharirik Shikshan Mahavidyalaya ,,Maharashtra   
Poojya Sane Guruji V.P. Mandal'S College Of Engineering ,Dhule   ,Maharashtra   
Poojya Sane Guruji Vidya Prasarak Mandal ,,Maharashtra   
Poojya Shri Madhavanji College Of Education ,,Andhra Pradesh   
Pookoya Thangal Memorial Government College ,,Kerala   
Poompuhar College ,Poompuhar   ,Tamil Nadu   
Poona College Of Arts Science And Commerce ,,Maharashtra   
Poona District Education Association College Of Engineering ,Pune   ,Maharashtra   
Poonga College Of Arts And Science ,Chennai   ,Tamil Nadu   
Poorani Teacher Training Institute ,,Tamil Nadu   
Pooranmal Ram Lal Degree College ,,Uttar Pradesh   
Poorna Pragna Institute Of Managemnet ,Udupi   ,Karnataka   
Poornasai Vivekananda Degree College ,Visakhapatnam   ,Andhra Pradesh   
Poornima College Of Engineering ,Jaipur   ,Rajasthan   
Poornima Institute Of Engineering And Technology ,Jaipur   ,Rajasthan   
Pope John Paul Ii College Of Education ,Pondicherry   ,Pondicherry   
Popes College ,Tuticorin   ,Tamil Nadu   
Popular College Education ,,Jammu And Kashmir   
Porukara College Of Education ,,Kerala   
Post G. Training College For Physical Education ,,West Bengal   
Post Graduate College ,,Uttar Pradesh   
Post Graduate Department Of Education ,,Gujarat   
Post Graduate Institute Of Medical Education And Research ,Chandigarh   ,Chandigarh   
"Post Graduate Institute Of Swasthiyog Pratisthan, Miraj ",Sangli   ,Maharashtra   
Post Graduate Teaching Department Of Physical Edu ,,Maharashtra   
Post Graduate Teaching Deptt In Education ,,Maharashtra   
Post Graduate Training College ,,Assam   
Post Graduate Training College For Phy Education ,,West Bengal   
Post Graduate Training College Jorahat ,,Assam   
Potdar Foundation Potdar Ded College ,,Maharashtra   
Potti Sreeramulu Telugu University ,Hyderabad   ,Andhra Pradesh   
Ppg Institute Of Technology ,Coimbatore   ,Tamil Nadu   
Pr Engineering College ,Thanjavur   ,Tamil Nadu   
Prabha Degree College ,Palem   ,Andhra Pradesh   
Prabha Devi Mahavidyalaya ,,Uttar Pradesh   
Prabhakar Mamulkar Ded College ,,Maharashtra   
Prabhala Lakshminarayana Memorial Degree College ,Guntur   ,Andhra Pradesh   
Prabhala Pg College For Women ,Guntur   ,Andhra Pradesh   
Prabharani B Ed College ,,West Bengal   
Prabharani Institute Of Education ,,West Bengal   
Prabhas College Of Education ,,Andhra Pradesh   
Prabhas Degree College ,Vijayawada   ,Andhra Pradesh   
Prabhat Engineering College ,Kanpur   ,Uttar Pradesh   
Prabhath College Of Education ,,Andhra Pradesh   
Prabhath Institute Of Business Management ,Kurnool   ,Andhra Pradesh   
Prabhath Institute Of Computer Sciences ,Kurnool   ,Andhra Pradesh   
Prabhatku Mar College ,,West Bengal   
Prabhodhan S.P. S'S Rajendra Mane College Of Engineering & Tech ,Ratnagiri   ,Maharashtra   
Prabhu Jagatbandhu College ,,West Bengal   
Prabhu Narain Singh Mahavidyalaya ,,Uttar Pradesh   
Prabhudas Thakkar Arts Commerce College ,,Gujarat   
Prachya Niketan ,,Madhya Pradesh   
Prachya Sahara Shikshan Sanstha Samiti ,,Madhya Pradesh   
Pradeep Memorial Comprehensive Coll Of Edu ,,Delhi   
Pradnya Bahuuddeshiya Mahila Santha ,,Maharashtra   
Pradnya Prathishthan ,,Maharashtra   
Prafulla Chandra College ,,West Bengal   
Praga Bal Uthan Samiti ,,Madhya Pradesh   
Pragajyotish College ,Guwahati   ,Assam   
Pragat Mahila Mandal ,,Maharashtra   
Pragathi Arts & Science College ,Nalgonda   ,Andhra Pradesh   
"Pragathi Arts & Science College, Mahaboobnagar ",Mahabubnagar   ,Andhra Pradesh   
Pragathi College Of Education ,,Andhra Pradesh   
Pragathi College Of Education ,,Karnataka   
Pragathi Degree College ,Kukatpally   ,Andhra Pradesh   
Pragathi Degree College For Women ,Hyderabad   ,Andhra Pradesh   
"Pragathi Degree College, Chundoor ",Chennoor   ,Andhra Pradesh   
"Pragathi Degree College, Kakinada ",Kakinada   ,Andhra Pradesh   
"Pragathi Degree College, Kothavalasa ",Kothavalasa   ,Andhra Pradesh   
"Pragathi Degree College, Nizamabad ",Nizamabad   ,Andhra Pradesh   
"Pragathi Degree College, Valigonda ",Valigonda   ,Andhra Pradesh   
Pragathi School Of Business ,Warangal   ,Andhra Pradesh   
Pragathi T T I ,,Karnataka   
Pragathi Teacher Training Institute ,,Karnataka   
Pragathi Womens College ,Hyderabad   ,Andhra Pradesh   
Pragathi Womens Degree College ,Mahabubnagar   ,Andhra Pradesh   
Pragati College ,,Chhattisgarh   
Pragati College Of Education ,,Andhra Pradesh   
Pragati D Ed College ,,Karnataka   
Pragati Engineering College ,East Godavari   ,Andhra Pradesh   
Pragati Institute Of Education & Training ,,Delhi   
Pragati Mahavidyalaya Pg College ,Hyderabad   ,Andhra Pradesh   
Pragati Mahila Mandal ,,Maharashtra   
Pragati Shikshan Sanstha Jawahar Lal Nehru College ,,Madhya Pradesh   
Pragati Teachers Training College ,,Rajasthan   
Pragati Telugu Pandit Training College ,,Andhra Pradesh   
Pragatishil Bahuddeshiya Sanstha ,,Maharashtra   
Pragna College Of Education ,,Andhra Pradesh   
Pragna Pg College ,Ibrahimpatnam   ,Andhra Pradesh   
Pragya College ,,Madhya Pradesh   
Pragya College Of Education ,,Haryana   
"Pragyna Degree College, Kakinada ",Kakinada   ,Andhra Pradesh   
Prahladbhai S Patel Adhyapan Mandir ,,Gujarat   
Prahladrai D.L.College Of Commerce & Economics ,,Maharashtra   
Praja Mandal Mahila Mahavidyalaya ,,Orissa   
Prajasattak Bed College ,,Maharashtra   
Prajasattak Colony Of Education ,,Maharashtra   
Prajna College Of Science And Arts ,Srikakulam   ,Andhra Pradesh   
"Prajna Institute Of Technology And Managment, ",Haripuram   ,Andhra Pradesh   
Prajnananda Govt Ptti Barajagulia ,,West Bengal   
Prakasam Degree College ,West Godavari   ,Andhra Pradesh   
Prakasam Engineering College ,Kandukur   ,Andhra Pradesh   
Prakash Adhyapan Mandir ,,Gujarat   
Prakash College Education ,,Gujarat   
Prakash College Of Education ,,Gujarat   
Prakash P T C Vidhyalaya ,,Gujarat   
Prakash Shikshak Prashishan Mahavidyalaya ,,Rajasthan   
Pramathesh Barua College Dhuburi ,Dhuburi   ,Assam   
Pramila Gowda D Ed College ,,Karnataka   
Pramod D Ed College ,,Karnataka   
Pramod Ravindra Dhuri ,,Maharashtra   
Pramothes Barua College ,,Assam   
Pramukh Swami Medical College ,Anand   ,Gujarat   
Pramukh Swami Science H D Patel Arts College ,,Gujarat   
Pranabananda Womens College ,,Nagaland   
Pranam Primary Teachers Training College ,,Gujarat   
Pranathi Ded College ,,Karnataka   
Prannath Mahavidyalaya ,,Orissa   
Pranveer Singh Institute Of Technology ,Kanpur   ,Uttar Pradesh   
Prarthana Primary Teachers Training College ,,Gujarat   
Prasad Institute Of Technology ,Jaunpur   ,Uttar Pradesh   
Prasad Institute Of Technology & Sciences ,Krishna   ,Andhra Pradesh   
Prasad V. Potluri Siddhartha Institute Of Technology ,Vijayawada   ,Andhra Pradesh   
Prasakthi Teacher Training Institute For Women ,,Tamil Nadu   
Prasanna College Of Education ,,Karnataka   
Prasanna D Ed College ,,Karnataka   
Prasannadeb Womens College ,,West Bengal   
Prasannamani College Of Physical Edn & Yoga ,,Orissa   
Prasanthi Degree College ,Krishna   ,Andhra Pradesh   
Prasarak Sanstha Sanchalit Senior College Of ,,Maharashtra   
Prasasvi T T College Collectorate Chauraha ,,Rajasthan   
Prashanth D Ed College ,,Karnataka   
Prashanti College Of Education ,,Rajasthan   
Prashanti College Of Professional Studies ,,Madhya Pradesh   
Prassasvi T T College ,,Rajasthan   
Prassive Teacher Training College ,,Rajasthan   
Pratap Bahadur Degree College ,,Uttar Pradesh   
Pratap Bahadur P G College ,,Uttar Pradesh   
Pratap College Of Education ,,Andhra Pradesh   
Pratap Junior College Of Education ,,Maharashtra   
"Prathiba Degree College, Siddipet ",Siddipet   ,Andhra Pradesh   
Prathiba Vignana Es Degree College For Women ,Bhimavaram   ,Andhra Pradesh   
Prathibha College Of Education ,,Andhra Pradesh   
"Prathibha Degree College, Kallur ",Kallur   ,Andhra Pradesh   
"Prathima Institute Of Medical Sciences, Karimnager ",Karimnagar   ,Andhra Pradesh   
Prathisthan Mahavidyalaya ,,Maharashtra   
Prathyusha Institute Of Technology And Management ,Tiruvallur   ,Tamil Nadu   
Pratibha College Of Education ,,Andhra Pradesh   
Pratibha Degree College ,Guntur   ,Andhra Pradesh   
Pratibha Degree College For Women ,Rangareddy   ,Andhra Pradesh   
"Pratibha Degree College, Rangareddy ",Ibrahimpatnam   ,Andhra Pradesh   
"Pratibha Degree College, Vizianagaram ",Vizianagaram   ,Andhra Pradesh   
Pratibha Institute Of Business Management ,Pune   ,Maharashtra   
Pratibha Niketan Mahavidyalaya(Arts Sc Com.) ,,Maharashtra   
Pratibha Pratishthan ,,Maharashtra   
Pravara College Of Physical Education ,,Maharashtra   
Pravara Institute Of Research & Education In Natural & Social Science ,Ahmednagar   ,Maharashtra   
Pravara Rural College Of Education ,,Maharashtra   
Pravara Rural College Of Engineering ,Ahmednagar   ,Maharashtra   
Pravara Rural Edn Society'S College Of Phy Edn ,,Maharashtra   
Pravara Rural Edu Soc Visvesvaraya Engineering College ,Nashik   ,Maharashtra   
Praveen College Of Education ,,Andhra Pradesh   
Praveen Hindi Pandit Training College ,,Andhra Pradesh   
Praveenya Institute Of Marine Engineering ,Denkada   ,Andhra Pradesh   
Prayag Mahila Vidyapeeth Degree College ,,Uttar Pradesh   
Prayas College Of Education ,,Delhi   
Pre Primary Training College ,,Gujarat   
Pre Primary Tti ,,Kerala   
Prema College Of Education ,,Andhra Pradesh   
Prema Katiyar Shiksha Sansthan Mahavidyalaya ,,Uttar Pradesh   
Premchand Mugadiya D Ed College ,,Maharashtra   
Premchand Raichand Training College ,,Gujarat   
Premi Devi Samaj Kalyan Mahila Mahavidyalaya ,,Uttar Pradesh   
Premier College Of Management ,Bangalore   ,Karnataka   
Premier Teacher Training Institute ,,Tamil Nadu   
Prerana Degree College ,Mancherial   ,Andhra Pradesh   
Presidency College ,Bangalore   ,Karnataka   
Presidency College ,,Manipur   
Presidency College ,Chennai   ,Tamil Nadu   
Presidency College ,,West Bengal   
"Presidency College For Women, Hyderabad ",Hyderabad   ,Andhra Pradesh   
Presidency College Of Arts & Science ,Kukatpally   ,Andhra Pradesh   
Presidency College Of Education ,,Andhra Pradesh   
Presidency College Of Education ,,Karnataka   
Presidency College Of Education & Technology ,,Uttar Pradesh   
Presidency Degree College ,Visakhapatnam   ,Andhra Pradesh   
Presidency School Of Mgt. & Computer Sciences ,Hyderabad   ,Andhra Pradesh   
President College Of Education ,,Gujarat   
Prestige Institute Of Education ,,Madhya Pradesh   
Prestige Institute Of Management ,Dewas   ,Madhya Pradesh   
Prestige Institute Of Management & Research ,Indore   ,Madhya Pradesh   
Prestige Institute Of Management. ,Gwalior   ,Madhya Pradesh   
Preston College ,,Madhya Pradesh   
Primary College Of Education (Vado Juth Kelavan ,,Gujarat   
Primary College Of Education (Vado Juth Kelvani Mandal'S) ,,Gujarat   
Primary Education College ,,Gujarat   
Primary Teacher Education College ,,Bihar   
Primary Teacher Education College ,,Jharkhand   
Primary Teacher Education College (Diet) Narar ,,Bihar   
Primary Teacher Education Collge Cum Diet Pirauta ,,Bihar   
Primary Teacher Education Collge Pusa ,,Bihar   
Primary Teacher Training Centre ,,Karnataka   
Primary Teacher Training College ,,Gujarat   
Primary Teacher Training College ,,Jharkhand   
Primary Teachers Education College ,,Bihar   
Primary Teachers Education College ,,Jharkhand   
Primary Teachers Education College ( Diet) Sonepu ,,Bihar   
Primary Teachers Education College Bangra ,,Bihar   
Primary Teachers Education College Barh ,,Bihar   
Primary Teachers Education College Bundu ,,Jharkhand   
Primary Teachers Education College Chakulia ,,Jharkhand   
Primary Teachers Education College Gurwa ,,Jharkhand   
Primary Teachers Education College Madhopatti ,,Bihar   
Primary Teachers Education College Patahi ,,Bihar   
Primary Teachers Training College ,,Gujarat   
Primary Teachers Training College ,,Jharkhand   
Primary Teachers Training College Cum Diet ,,Bihar   
Primary Teachers Training College Cum Diet ,,Jharkhand   
Prime (Mca) College ,Anandapuram   ,Andhra Pradesh   
Prime College Of Education ,,Tamil Nadu   
Prime Teacher Training Institute ,,Tamil Nadu   
Prime Teachers Training Institute ,,Tamil Nadu   
Prin M C Shah College Commerce ,,Gujarat   
Prin. L.N. Wellingkar Institute Of Mgt. Develop ,Bangalore   ,Karnataka   
Prin.N.G.Naralkar Institute Of Career Development & Research ,Pune   ,Maharashtra   
Prince Advance Studies ,,Delhi   
Prince Institute Of Innovative Technology ,,Uttar Pradesh   
Prince Marthanda Varma Teacher Trg Institute ,,Kerala   
Prince Shivaji Institute Of Education ,,Maharashtra   
Prince Shri Venkateshwara Arts And Science College ,Chennai   ,Tamil Nadu   
Prince Shri Venkateshwara Padmavathy Engineering College ,Chennai   ,Tamil Nadu   
Princes Shehkar College For Women ,Hyderabad   ,Andhra Pradesh   
Princess B Ed College ,,Rajasthan   
Princess Esin Womens Educational Centre ,,Andhra Pradesh   
Princess Teacher Traning College ,,Rajasthan   
Princess Tt College ,,Rajasthan   
Princeton College Of Engineering & Technology ,Ghatkesar   ,Andhra Pradesh   
Princeton Degree College ,Ramanthapur   ,Andhra Pradesh   
Princeton Pg College ,Hyderabad   ,Andhra Pradesh   
Princeton School Of Education ,,Andhra Pradesh   
Prithvi Engineering College ,Coimbatore   ,Tamil Nadu   
Prithvi Raj Chauhan Mahavidyalaya ,,Uttar Pradesh   
Prithvi Raj Chauhan Mahavidylaya ,,Uttaranchal   
Priya Darshini Anjuman Islamia Girls College ,,Madhya Pradesh   
Priya Darshini D Ed College ,,Karnataka   
Priyadarshani Adyapak Vidyala ,,Maharashtra   
Priyadarshini College ,Nalgonda   ,Andhra Pradesh   
Priyadarshini College Of Computer Sciences ,Noida   ,Uttar Pradesh   
Priyadarshini College Of Education ,,Andhra Pradesh   
Priyadarshini College Of Education ,,Karnataka   
Priyadarshini College Of Engineering ,Nellore   ,Andhra Pradesh   
Priyadarshini College Of Engineering Andhra Pradesh ,Nellore   ,Andhra Pradesh   
Priyadarshini College Of Engineering Maharastra ,Nagpur   ,Maharashtra   
Priyadarshini D Ed Teachers Training Institute ,,Karnataka   
Priyadarshini Degree & Pg College ,Hyderabad   ,Andhra Pradesh   
Priyadarshini Degree College ,Tenali   ,Andhra Pradesh   
"Priyadarshini Degree College, Jangareddygudem ",Jangareddigudem   ,Andhra Pradesh   
"Priyadarshini Degree College, Khammam ",Khammam   ,Andhra Pradesh   
"Priyadarshini Degree College, Kothagudem ",Kothagudem   ,Andhra Pradesh   
"Priyadarshini Degree College, Nalgonda ",Nalgonda   ,Andhra Pradesh   
"Priyadarshini Degree College, Nellore ",Nellore   ,Andhra Pradesh   
Priyadarshini Engineering College ,Vellore   ,Tamil Nadu   
"Priyadarshini Institute Of Engineering And Technology, ",Nagpur   ,Maharashtra   
Priyadarshini Institute Of Management & Science ,Jammu   ,Jammu And Kashmir   
Priyadarshini Institute Of Technology & Science ,Guntur   ,Andhra Pradesh   
Priyadarshini Mahavidyalaya ,,Madhya Pradesh   
Priyadarshini Mahila Mahavidyalaya ,,Maharashtra   
Priyadarshini Pg Centre ,Nellore   ,Andhra Pradesh   
Priyadarshini Pg College ,Mandal   ,Andhra Pradesh   
Priyadarshini Polytechnic College ,Villupuram   ,Tamil Nadu   
Priyadarshini Seva Sanstha ,,Maharashtra   
Priyadarshini Teacher Training Institute ,,Karnataka   
Priyadarshini Teacher Training Institute ,,Tamil Nadu   
Priyal Education Society ,,Madhya Pradesh   
Priyanka College Of Education ,,Andhra Pradesh   
Priyanka Degree College For Women ,Hyderabad   ,Andhra Pradesh   
Priyanka Teacher Training College ,,Andhra Pradesh   
Priyanka Teachers Training Institute ,,Karnataka   
Priyatam Institute Of Technology & Science ,Indore   ,Madhya Pradesh   
Prm Vijaya Teachers Training Institute ,,Karnataka   
Prof Gursewak Singh Govt College Of Physical Edn ,,Punjab   
Prof S A College Of Education ,,Tamil Nadu   
Prof. Dhanapalan College For Women ,Chennai   ,Tamil Nadu   
Prof. G. Sundera Reddy Degree College ,Saluru   ,Andhra Pradesh   
Professor Rangas Physical Education Institute ,,Rajasthan   
Progati College Dhuburi ,Dhuburi   ,Assam   
Progessive Learning College Of Education ,,Haryana   
Progressive College ,Hyderabad   ,Andhra Pradesh   
Progressive Education Societys B Ed College ,,Maharashtra   
Progressive Education Society'S Modern College Of Engineering ,Haveli   ,Maharashtra   
Progressive Engineering College ,Nalgonda   ,Andhra Pradesh   
Projyothi Niketan College ,,Kerala   
Promod D Ed College ,,Karnataka   
Proudadevaraya Institute Of Technology ,Hospet   ,Karnataka   
Providence College For Women ,Nilgiris   ,Tamil Nadu   
Providence College Of Teacher Education (B Ed) For ,,Kerala   
Providence Junior College Of Education ,,Maharashtra   
Providence Womens College ,,Kerala   
"Providence Womens College, Kozhikode ",Kozhikode   ,Kerala   
Pruthvi Evening Law College ,Bangalore   ,Karnataka   
Psg College Of Technology ,Coimbatore   ,Tamil Nadu   
Psn College Of Engineering & Technology ,Tirunelveli   ,Tamil Nadu   
Psn College Of Engineering. ,Tirunelveli   ,Tamil Nadu   
Psna College Of Engineering And Technology ,Dindigul   ,Tamil Nadu   
Pt. Ambika Pratap Narayan Degree College ,,Uttar Pradesh   
"Pt. B.D Sharma Postgraduate Institute Of Medical Science, Rohtak ",Rohtak   ,Haryana   
Pt. Brij Kishore Pateria Shiksha Mahavidyalaya ,,Madhya Pradesh   
Pt. Deen Dayal Institute - Physically Handicapped ,Delhi   ,Delhi   
Pt. Deen Dayal Upadhya Girls College ,,Madhya Pradesh   
Pt. Deen Dayal Upadhya Government Degree College ,,Uttar Pradesh   
Pt. Deen Dayal Upadhyay Government Girls Degree College ,,Uttar Pradesh   
Pt. Deen Dayal Upadhyay Gramodya Mahavidyalaya ,,Uttar Pradesh   
Pt. Deen Dayal Upadhyay Management College ,,Uttar Pradesh   
Pt. Hari Sahai Degree College ,,Uttar Pradesh   
Pt. Harishankar Education College ,,Chhattisgarh   
Pt. Harishankar Shukla Smriti Mahavidyalaya ,,Chhattisgarh   
Pt. J.L.N. College ,,Uttar Pradesh   
"Pt. J.N.M Medical College, Raipur ",Raipur   ,Chhattisgarh   
Pt. Jawahar Lal Nehru College ,,Uttar Pradesh   
Pt. Jawaharlal Nehru Institute Of Business Management ,Ujjain   ,Madhya Pradesh   
Pt. Prithi Nath (Pg) College ,,Uttar Pradesh   
Pt. R.N. Junior College Of Education ,,Maharashtra   
Pt. Ram Dutt Shukla Degree College ,,Uttar Pradesh   
Pt. S.N.Shukla Governmentcollege ,,Madhya Pradesh   
Pt. Sahadev Prasad Trivedi Mahavidyalaya ,,Uttar Pradesh   
Pt. Sahdev Prasad Trivedi Mahavidyalay ,,Uttar Pradesh   
Pt. Sujan Singh Degree College ,,Uttar Pradesh   
Pt. Sunder Lal Memorial P G College ,,Uttar Pradesh   
Pt. Sunderlal Memorial Degree College ,,Uttar Pradesh   
Pt. Surya Narayan Chaturvedi Degree College ,,Uttar Pradesh   
Pt. Tej Ram College Of Edn ,,Uttar Pradesh   
Pt. Thakur Prasad Tripathi ,,Uttar Pradesh   
Pt. Thakur Prasad Tripathi Kisan Degree College ,,Uttar Pradesh   
Pt. Udai Jain Mahavidyalaya ,,Rajasthan   
Pt. Vashudev Tiwari College Of Education ,,Uttar Pradesh   
Ptr College Of Engineering & Technology ,Madurai   ,Tamil Nadu   
Pubkamrup College ,Kamrup   ,Assam   
Public College ,,Punjab   
Public Khalsa College For Women ,,Punjab   
Public Mahila Sahar Degree College ,,Uttar Pradesh   
Pujya Swami Vivekanand College Of Education ,,Haryana   
Pulavar Kuppuswami Teacher Training Institute ,,Tamil Nadu   
Pulijala Venkat Ranga Rao Memorial College Of Edua ,,Andhra Pradesh   
Pulla Rao College Of Education ,,Andhra Pradesh   
Pulla Reddy Institute Of Computer Science ,Hyderabad   ,Andhra Pradesh   
Pune Julha Mandals Mamasahib Mohol Arts & Commerc ,,Maharashtra   
Pune Sevasadan Societys Y B Khare Jr Colege Of Edu ,,Maharashtra   
Pune Vidhyarthi Griha'S College Of Engineering And Technology ,Pune   ,Maharashtra   
Pune Vidyarthi Griha ,,Maharashtra   
Pune Zilla Shikshan Mandal ,,Maharashtra   
